ID	geneID	p.adjust	symbols
GO_INNATE_IMMUNE_RESPONSE	4502/5696/57823/4063/54472/716/715/51279/3661/2161/8347/8344/26472/6280/6279/7098/200315/9582/27350/140564/200316/60489/79792/3122/3127/3123/3868/10475/8339/3113/3115/146433/6504/5777/10383/3117/3119/3118/3120/6352/6348/6351/10270/712/714/713/114836/8832/51744/2244/2243/6363/6366/8751/164668/9093/830/84166/6358/6359/6362	8.88852246117825e-06	MT2A,PSMB8,SLAMF7,LY9,TOLLIP,C1S,C1R,C1RL,IRF3,F12,HIST1H2BC,HIST1H2BE,PPP1R14B,S100A9,S100A8,TLR3,APOBEC3A,APOBEC3B,APOBEC3C,APOBEC3D,APOBEC3F,APOBEC3G,GSDMD,HLA-DRA,HLA-DRB5,HLA-DRB1,KRT16,TRIM38,HIST1H2BG,HLA-DPA1,HLA-DPB1,IL34,SLAMF1,PTPN6,TUBB4B,HLA-DQA1,HLA-DQB1,HLA-DQA2,HLA-DQB2,CCL5,CCL3,CCL4,AKAP8,C1QA,C1QC,C1QB,SLAMF6,CD84,CD244,FGB,FGA,CCL19,CCL21,ADAM15,APOBEC3H,DNAJA3,CAPZA2,NLRC5,CCL14,CCL15,CCL18
GO_CELLULAR_RESPONSE_TO_ZINC_ION	4502/4493/4499/4494/4495/4501/4489/4496	0.000250696420409971	MT2A,MT1E,MT1M,MT1F,MT1G,MT1X,MT1A,MT1H
GO_CALCIUM_DEPENDENT_CELL_CELL_ADHESION_VIA_PLASMA_MEMBRANE_CELL_ADHESION_MOLECULES	57717/56127/56126/56125/56123/56122/56133/56131/26167/56130	0.000250696420409971	PCDHB16,PCDHB9,PCDHB10,PCDHB11,PCDHB13,PCDHB14,PCDHB2,PCDHB4,PCDHB5,PCDHB6
GO_CHEMOKINE_MEDIATED_SIGNALING_PATHWAY	4283/3627/6373/3576/6372/2919/6374/2921/6352/6348/6351/6363/6366/6358/6359/6362	0.000255556532486818	CXCL9,CXCL10,CXCL11,IL8,CXCL6,CXCL1,CXCL5,CXCL3,CCL5,CCL3,CCL4,CCL19,CCL21,CCL14,CCL15,CCL18
GO_CYTOKINE_MEDIATED_SIGNALING_PATHWAY	4502/5696/5698/8651/29965/3661/8764/50506/53905/572/8795/8794/8793/8797/7186/5708/4283/3627/6373/3122/3127/3123/10475/3576/6372/2919/6374/2921/3113/3115/51330/3117/3119/3118/3120/6352/6348/6351/1271/3590/583/1154/6363/6366/6358/6359/6362	0.000638241386506432	MT2A,PSMB8,PSMB9,SOCS1,CDIP1,IRF3,TNFRSF14,DUOX2,DUOX1,BAD,TNFRSF10B,TNFRSF10C,TNFRSF10D,TNFRSF10A,TRAF2,PSMD2,CXCL9,CXCL10,CXCL11,HLA-DRA,HLA-DRB5,HLA-DRB1,TRIM38,IL8,CXCL6,CXCL1,CXCL5,CXCL3,HLA-DPA1,HLA-DPB1,TNFRSF12A,HLA-DQA1,HLA-DQB1,HLA-DQA2,HLA-DQB2,CCL5,CCL3,CCL4,CNTFR,IL11RA,BBS2,CISH,CCL19,CCL21,CCL14,CCL15,CCL18
GO_CELLULAR_RESPONSE_TO_INTERFERON_GAMMA	4502/3661/7098/3122/3127/3123/10475/3113/3115/3117/3119/3118/3120/6352/6348/6351/6363/6366/6358/6359/6362	0.000690036229489256	MT2A,IRF3,TLR3,HLA-DRA,HLA-DRB5,HLA-DRB1,TRIM38,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQB1,HLA-DQA2,HLA-DQB2,CCL5,CCL3,CCL4,CCL19,CCL21,CCL14,CCL15,CCL18
GO_POSITIVE_REGULATION_OF_LEUKOCYTE_CHEMOTAXIS	57402/7423/4283/3627/6373/3576/6372/2919/6374/2921/6352/6348/6351/63940/6363/6366	0.000758497031444116	S100A14,VEGFB,CXCL9,CXCL10,CXCL11,IL8,CXCL6,CXCL1,CXCL5,CXCL3,CCL5,CCL3,CCL4,GPSM3,CCL19,CCL21
GO_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_PEPTIDE_OR_POLYSACCHARIDE_ANTIGEN_VIA_MHC_CLASS_II	3112/3109/3108/64837/160/9371/1173/3122/3127/3123/3111/3113/3115/3117/3119/3118/3120/11258	0.00124486324406345	HLA-DOB,HLA-DMB,HLA-DMA,KLC2,AP2A1,KIF3B,AP2M1,HLA-DRA,HLA-DRB5,HLA-DRB1,HLA-DOA,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQB1,HLA-DQA2,HLA-DQB2,DCTN3
GO_RESPONSE_TO_INTERFERON_GAMMA	4502/3661/7098/3122/3127/3123/10475/3113/3115/3117/3119/3118/3120/6352/6348/6351/6363/6366/9093/6358/6359/6362	0.00181627368819643	MT2A,IRF3,TLR3,HLA-DRA,HLA-DRB5,HLA-DRB1,TRIM38,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQB1,HLA-DQA2,HLA-DQB2,CCL5,CCL3,CCL4,CCL19,CCL21,DNAJA3,CCL14,CCL15,CCL18
GO_CELLULAR_RESPONSE_TO_CADMIUM_ION	4493/4494/4495/4501/8644/4489/4496	0.00236726977298149	MT1E,MT1F,MT1G,MT1X,AKR1C3,MT1A,MT1H
