ID	geneID	p.adjust	symbols
GO_INNATE_IMMUNE_RESPONSE	4502/5696/57823/4063/54472/716/715/51279/3122/3127/3123/712/714/713/8542/51744/3661/2161/8347/8344/53840/85363/10346/27350/140564/200316/60489/26472/283/6280/6279/7098/200315/9582/64581/79792/164668/3868/124599/10475/8339/3117/3119/3118/3120/3113/3115/146433/6504/5777/353514/10383/10270/100049587/114836/8832/2244/2243/6363/6366/8751/9093/830/84166	2.39644096051718e-05	MT2A,PSMB8,SLAMF7,LY9,TOLLIP,C1S,C1R,C1RL,HLA-DRA,HLA-DRB5,HLA-DRB1,C1QA,C1QC,C1QB,APOL1,CD244,IRF3,F12,HIST1H2BC,HIST1H2BE,TRIM34,TRIM5,TRIM22,APOBEC3C,APOBEC3D,APOBEC3F,APOBEC3G,PPP1R14B,ANG,S100A9,S100A8,TLR3,APOBEC3A,APOBEC3B,CLEC7A,GSDMD,APOBEC3H,KRT16,CD300LB,TRIM38,HIST1H2BG,HLA-DQA1,HLA-DQB1,HLA-DQA2,HLA-DQB2,HLA-DPA1,HLA-DPB1,IL34,SLAMF1,PTPN6,LILRA5,TUBB4B,AKAP8,SIGLEC14,SLAMF6,CD84,FGB,FGA,CCL19,CCL21,ADAM15,DNAJA3,CAPZA2,NLRC5
GO_CELLULAR_RESPONSE_TO_ZINC_ION	4502/4493/4499/4494/4495/4501/4489/4496	0.000628339082329448	MT2A,MT1E,MT1M,MT1F,MT1G,MT1X,MT1A,MT1H
GO_CALCIUM_DEPENDENT_CELL_CELL_ADHESION_VIA_PLASMA_MEMBRANE_CELL_ADHESION_MOLECULES	57717/56127/56126/56125/56123/56122/56133/56131/26167/56130	0.000628339082329448	PCDHB16,PCDHB9,PCDHB10,PCDHB11,PCDHB13,PCDHB14,PCDHB2,PCDHB4,PCDHB5,PCDHB6
GO_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_PEPTIDE_OR_POLYSACCHARIDE_ANTIGEN_VIA_MHC_CLASS_II	3112/3109/3108/3122/3127/3123/64837/160/9371/1173/3117/3119/3118/3120/3111/3113/3115/11258/1509	0.00239588713871377	HLA-DOB,HLA-DMB,HLA-DMA,HLA-DRA,HLA-DRB5,HLA-DRB1,KLC2,AP2A1,KIF3B,AP2M1,HLA-DQA1,HLA-DQB1,HLA-DQA2,HLA-DQB2,HLA-DOA,HLA-DPA1,HLA-DPB1,DCTN3,CTSD
GO_ADAPTIVE_IMMUNE_RESPONSE	27074/6891/6890/57823/4063/716/715/51279/11027/10859/11006/3127/3123/712/714/713/51744/55611/3119/118460/6504/11025/79168/10990/10288/3903/11024/114836/8832/2244/2243	0.0029634635776413	LAMP3,TAP2,TAP1,SLAMF7,LY9,C1S,C1R,C1RL,LILRA2,LILRB1,LILRB4,HLA-DRB5,HLA-DRB1,C1QA,C1QC,C1QB,CD244,OTUB1,HLA-DQB1,EXOSC6,SLAMF1,LILRB3,LILRA6,LILRB5,LILRB2,LAIR1,LILRA1,SLAMF6,CD84,FGB,FGA
GO_CELLULAR_RESPONSE_TO_CADMIUM_ION	4493/4494/4495/4501/8644/4489/4496	0.0071242315194226	MT1E,MT1F,MT1G,MT1X,AKR1C3,MT1A,MT1H
GO_PYRIMIDINE_RIBONUCLEOSIDE_CATABOLIC_PROCESS	27350/200316/60489/200315/164668/9583	0.0071242315194226	APOBEC3C,APOBEC3F,APOBEC3G,APOBEC3A,APOBEC3H,ENTPD4
GO_INTERFERON_GAMMA_MEDIATED_SIGNALING_PATHWAY	4502/3122/3127/3123/3661/53840/85363/10346/10475/3117/3119/3118/3120/3113/3115	0.0071242315194226	MT2A,HLA-DRA,HLA-DRB5,HLA-DRB1,IRF3,TRIM34,TRIM5,TRIM22,TRIM38,HLA-DQA1,HLA-DQB1,HLA-DQA2,HLA-DQB2,HLA-DPA1,HLA-DPB1
GO_IMMUNE_EFFECTOR_PROCESS	57823/4063/55361/716/715/51279/10859/6284/2212/2214/3127/3123/712/714/713/4283/3627/51744/3661/53840/85363/10346/27350/140564/200316/60489/54512/7098/200315/9582/64581/55324/164668/6372/6374/3119/118460/6504/5777/71/10383/114836/8692/11334/84166/7728	0.00826726268959105	SLAMF7,LY9,PI4K2A,C1S,C1R,C1RL,LILRB1,S100A13,FCGR2A,FCGR3A,HLA-DRB5,HLA-DRB1,C1QA,C1QC,C1QB,CXCL9,CXCL10,CD244,IRF3,TRIM34,TRIM5,TRIM22,APOBEC3C,APOBEC3D,APOBEC3F,APOBEC3G,EXOSC4,TLR3,APOBEC3A,APOBEC3B,CLEC7A,ABCF3,APOBEC3H,CXCL6,CXCL5,HLA-DQB1,EXOSC6,SLAMF1,PTPN6,ACTG1,TUBB4B,SLAMF6,HYAL2,TUSC2,NLRC5,ZNF175
GO_REGULATION_OF_ANTIGEN_PROCESSING_AND_PRESENTATION	3112/6891/6890/3077/3111/10288/6363/6366	0.00826726268959105	HLA-DOB,TAP2,TAP1,HFE,HLA-DOA,LILRB2,CCL19,CCL21
GO_DEFENSE_RESPONSE_TO_OTHER_ORGANISM	9688/7004/10859/57402/4283/3627/3661/8764/8347/8344/8351/8353/53840/85363/10346/27350/140564/200316/60489/54512/1351/283/6280/6279/7098/94107/200315/9582/64581/55324/164668/8339/2215/6372/2244/2243/8692/11334/94059/54/727897/84166/7728	0.0138786661946513	NUP93,TEAD4,LILRB1,S100A14,CXCL9,CXCL10,IRF3,TNFRSF14,HIST1H2BC,HIST1H2BE,HIST1H3D,HIST1H3E,TRIM34,TRIM5,TRIM22,APOBEC3C,APOBEC3D,APOBEC3F,APOBEC3G,EXOSC4,COX8A,ANG,S100A9,S100A8,TLR3,TMEM203,APOBEC3A,APOBEC3B,CLEC7A,ABCF3,APOBEC3H,HIST1H2BG,FCGR3B,CXCL6,FGB,FGA,HYAL2,TUSC2,LENG9,ACP5,MUC5B,NLRC5,ZNF175
GO_LYMPHOCYTE_COSTIMULATION	3122/3127/3123/8764/857/3117/3119/3118/3120/3113/3115/5777/6363/6366	0.0138786661946513	HLA-DRA,HLA-DRB5,HLA-DRB1,TNFRSF14,CAV1,HLA-DQA1,HLA-DQB1,HLA-DQA2,HLA-DQB2,HLA-DPA1,HLA-DPB1,PTPN6,CCL19,CCL21
GO_KERATINIZATION	81858/6699/6703/6700/3868/3872/6707/5493	0.0138786661946513	SHARPIN,SPRR1B,SPRR2D,SPRR2A,KRT16,KRT17,SPRR3,PPL
GO_CYTOKINE_MEDIATED_SIGNALING_PATHWAY	4502/5696/5698/8651/3122/3127/3123/4283/3627/6373/29965/3661/8764/53840/85363/10346/50506/53905/572/8795/8794/8793/8797/7186/5708/10475/3576/6372/2919/6374/2921/3117/3119/3118/3120/3113/3115/51330/1271/3590/583/1154/54829/6363/6366	0.0138786661946513	MT2A,PSMB8,PSMB9,SOCS1,HLA-DRA,HLA-DRB5,HLA-DRB1,CXCL9,CXCL10,CXCL11,CDIP1,IRF3,TNFRSF14,TRIM34,TRIM5,TRIM22,DUOX2,DUOX1,BAD,TNFRSF10B,TNFRSF10C,TNFRSF10D,TNFRSF10A,TRAF2,PSMD2,TRIM38,IL8,CXCL6,CXCL1,CXCL5,CXCL3,HLA-DQA1,HLA-DQB1,HLA-DQA2,HLA-DQB2,HLA-DPA1,HLA-DPB1,TNFRSF12A,CNTFR,IL11RA,BBS2,CISH,ASPN,CCL19,CCL21
GO_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_PEPTIDE_ANTIGEN	3112/6891/5696/6890/5698/3109/3108/3122/3127/3123/64837/160/3077/9371/1173/5708/3117/3119/3118/3120/3111/3113/3115/11258/1509	0.0138786661946513	HLA-DOB,TAP2,PSMB8,TAP1,PSMB9,HLA-DMB,HLA-DMA,HLA-DRA,HLA-DRB5,HLA-DRB1,KLC2,AP2A1,HFE,KIF3B,AP2M1,PSMD2,HLA-DQA1,HLA-DQB1,HLA-DQA2,HLA-DQB2,HLA-DOA,HLA-DPA1,HLA-DPB1,DCTN3,CTSD
GO_PROTEIN_ACTIVATION_CASCADE	716/715/51279/712/714/713/2161/2244/2243/2266/3818/2160	0.0148437406000855	C1S,C1R,C1RL,C1QA,C1QC,C1QB,F12,FGB,FGA,FGG,KLKB1,F11
GO_SYNAPSE_ASSEMBLY	9746/57717/56127/56126/56125/56123/56122/56133/56131/26167/56130	0.0148437406000855	CLSTN3,PCDHB16,PCDHB9,PCDHB10,PCDHB11,PCDHB13,PCDHB14,PCDHB2,PCDHB4,PCDHB5,PCDHB6
GO_HYDROGEN_PEROXIDE_METABOLIC_PROCESS	50506/90527/53905/2878/25824/405753/3040/3043	0.0148876821304979	DUOX2,DUOXA1,DUOX1,GPX3,PRDX5,DUOXA2,HBA2,HBB
