ID	geneID	p.adjust	symbols
GO_INNATE_IMMUNE_RESPONSE	4502/5696/57823/4063/54472/3055/7098/3122/3127/3123/712/714/713/51744/3661/2161/8347/8344/27350/140564/200316/60489/26472/6280/6279/64581/283/164668/3868/124599/3117/3119/3118/3120/3113/3115/146433/6504/353514/10383/6037/6352/6348/6351/10270/114836/8832/2244/2243/8339/79792/6363/6366/200315/9582/8751/9093/830/84166/6358/6359/6362	5.02463787037809e-06	MT2A,PSMB8,SLAMF7,LY9,TOLLIP,HCK,TLR3,HLA-DRA,HLA-DRB5,HLA-DRB1,C1QA,C1QC,C1QB,CD244,IRF3,F12,HIST1H2BC,HIST1H2BE,APOBEC3C,APOBEC3D,APOBEC3F,APOBEC3G,PPP1R14B,S100A9,S100A8,CLEC7A,ANG,APOBEC3H,KRT16,CD300LB,HLA-DQA1,HLA-DQB1,HLA-DQA2,HLA-DQB2,HLA-DPA1,HLA-DPB1,IL34,SLAMF1,LILRA5,TUBB4B,RNASE3,CCL5,CCL3,CCL4,AKAP8,SLAMF6,CD84,FGB,FGA,HIST1H2BG,GSDMD,CCL19,CCL21,APOBEC3A,APOBEC3B,ADAM15,DNAJA3,CAPZA2,NLRC5,CCL14,CCL15,CCL18
GO_CELLULAR_RESPONSE_TO_ZINC_ION	4502/4493/4499/4494/4495/4501/4489/4496	0.000274139636618739	MT2A,MT1E,MT1M,MT1F,MT1G,MT1X,MT1A,MT1H
GO_CALCIUM_DEPENDENT_CELL_CELL_ADHESION_VIA_PLASMA_MEMBRANE_CELL_ADHESION_MOLECULES	57717/56127/56126/56125/56123/56122/56133/56131/26167/56130	0.000274139636618739	PCDHB16,PCDHB9,PCDHB10,PCDHB11,PCDHB13,PCDHB14,PCDHB2,PCDHB4,PCDHB5,PCDHB6
GO_CELLULAR_RESPONSE_TO_INTERFERON_GAMMA	4502/3055/7098/3122/3127/3123/3661/3117/3119/3118/3120/3113/3115/6352/6348/6351/6363/6366/6358/6359/6362	0.00120981593598502	MT2A,HCK,TLR3,HLA-DRA,HLA-DRB5,HLA-DRB1,IRF3,HLA-DQA1,HLA-DQB1,HLA-DQA2,HLA-DQB2,HLA-DPA1,HLA-DPB1,CCL5,CCL3,CCL4,CCL19,CCL21,CCL14,CCL15,CCL18
GO_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_PEPTIDE_OR_POLYSACCHARIDE_ANTIGEN_VIA_MHC_CLASS_II	3112/3109/3108/9371/3122/3127/3123/160/1173/3117/3119/3118/3120/3111/3113/3115/11258/1509	0.00228270665478143	HLA-DOB,HLA-DMB,HLA-DMA,KIF3B,HLA-DRA,HLA-DRB5,HLA-DRB1,AP2A1,AP2M1,HLA-DQA1,HLA-DQB1,HLA-DQA2,HLA-DQB2,HLA-DOA,HLA-DPA1,HLA-DPB1,DCTN3,CTSD
GO_RESPONSE_TO_INTERFERON_GAMMA	4502/3055/7098/3122/3127/3123/3661/3117/3119/3118/3120/3113/3115/6352/6348/6351/6363/6366/9093/6358/6359/6362	0.00318337701530472	MT2A,HCK,TLR3,HLA-DRA,HLA-DRB5,HLA-DRB1,IRF3,HLA-DQA1,HLA-DQB1,HLA-DQA2,HLA-DQB2,HLA-DPA1,HLA-DPB1,CCL5,CCL3,CCL4,CCL19,CCL21,DNAJA3,CCL14,CCL15,CCL18
GO_CELLULAR_RESPONSE_TO_CADMIUM_ION	4493/4494/4495/4501/8644/4489/4496	0.00359969049248163	MT1E,MT1F,MT1G,MT1X,AKR1C3,MT1A,MT1H
GO_PYRIMIDINE_RIBONUCLEOSIDE_CATABOLIC_PROCESS	27350/200316/60489/164668/200315/9583	0.00369808614613966	APOBEC3C,APOBEC3F,APOBEC3G,APOBEC3H,APOBEC3A,ENTPD4
GO_REGULATION_OF_ANTIGEN_PROCESSING_AND_PRESENTATION	3112/6891/6890/3077/3111/10288/6363/6366	0.00476415714062363	HLA-DOB,TAP2,TAP1,HFE,HLA-DOA,LILRB2,CCL19,CCL21
GO_ADAPTIVE_IMMUNE_RESPONSE	27074/6891/6890/57823/4063/11027/10859/11006/3127/3123/712/714/713/51744/55611/3119/118460/6504/11025/79168/10990/10288/3903/11024/114836/8832/2244/2243	0.00588047697712724	LAMP3,TAP2,TAP1,SLAMF7,LY9,LILRA2,LILRB1,LILRB4,HLA-DRB5,HLA-DRB1,C1QA,C1QC,C1QB,CD244,OTUB1,HLA-DQB1,EXOSC6,SLAMF1,LILRB3,LILRA6,LILRB5,LILRB2,LAIR1,LILRA1,SLAMF6,CD84,FGB,FGA
GO_PYRIMIDINE_NUCLEOSIDE_CATABOLIC_PROCESS	27350/200316/60489/164668/200315/9583/56953	0.0068384656345471	APOBEC3C,APOBEC3F,APOBEC3G,APOBEC3H,APOBEC3A,ENTPD4,NT5M
GO_KERATINIZATION	6699/6703/6700/5493/3868/3872/6707/81858	0.00758402488024053	SPRR1B,SPRR2D,SPRR2A,PPL,KRT16,KRT17,SPRR3,SHARPIN
GO_POSITIVE_REGULATION_OF_CELL_CELL_ADHESION	3109/8943/10859/3122/3127/3123/51744/8764/572/283234/857/7186/3117/3119/3118/3120/3113/3115/6504/10288/6352/2244/2243/2266/6363/6366/9093	0.00758402488024053	HLA-DMB,AP3D1,LILRB1,HLA-DRA,HLA-DRB5,HLA-DRB1,CD244,TNFRSF14,BAD,CCDC88B,CAV1,TRAF2,HLA-DQA1,HLA-DQB1,HLA-DQA2,HLA-DQB2,HLA-DPA1,HLA-DPB1,SLAMF1,LILRB2,CCL5,FGB,FGA,FGG,CCL19,CCL21,DNAJA3
GO_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_PEPTIDE_ANTIGEN	3112/6891/5696/6890/5698/3109/3108/9371/3122/3127/3123/160/3077/1173/5708/3117/3119/3118/3120/3111/3113/3115/11258/1509	0.0100944304944859	HLA-DOB,TAP2,PSMB8,TAP1,PSMB9,HLA-DMB,HLA-DMA,KIF3B,HLA-DRA,HLA-DRB5,HLA-DRB1,AP2A1,HFE,AP2M1,PSMD2,HLA-DQA1,HLA-DQB1,HLA-DQA2,HLA-DQB2,HLA-DOA,HLA-DPA1,HLA-DPB1,DCTN3,CTSD
GO_LYMPHOCYTE_COSTIMULATION	3122/3127/3123/8764/857/3117/3119/3118/3120/3113/3115/6363/6366	0.0187786036580739	HLA-DRA,HLA-DRB5,HLA-DRB1,TNFRSF14,CAV1,HLA-DQA1,HLA-DQB1,HLA-DQA2,HLA-DQB2,HLA-DPA1,HLA-DPB1,CCL19,CCL21
GO_LYMPHOCYTE_CHEMOTAXIS	3627/6373/6352/6348/6363/6366/6358/6359/6362	0.0196051832802814	CXCL10,CXCL11,CCL5,CCL3,CCL19,CCL21,CCL14,CCL15,CCL18
