entrezID	symbol
1	A1BG
1	A1B
1	ABG
1	GAB
1	HYST2477
2	A2M
2	A2MD
2	CPAMD5
2	FWP007
2	S863-7
3	A2MP1
3	A2MP
9	NAT1
9	AAC1
9	MNAT
9	NAT-1
9	NATI
10	NAT2
10	AAC2
10	NAT-2
10	PNAT
11	AACP
11	NATP
11	NATP1
12	SERPINA3
12	AACT
12	ACT
12	GIG24
12	GIG25
12	
13	AADAC
13	CES5A1
13	DAC
14	AAMP
15	AANAT
15	DSPS
15	SNAT
16	AARS
16	CMT2N
16	EIEE29
18	ABAT
18	GABA-AT
18	GABAT
18	NPD009
19	ABCA1
19	ABC-1
19	ABC1
19	CERP
19	HDLDT1
19	TGD
20	ABCA2
20	ABC2
21	ABCA3
21	ABC-C
21	ABC3
21	EST111653
21	LBM180
21	SMDP3
22	ABCB7
22	ABC7
22	ASAT
22	Atm1p
22	EST140535
23	ABCF1
23	ABC27
23	ABC50
24	ABCA4
24	ABC10
24	ABCR
24	ARMD2
24	CORD3
24	FFM
24	RMP
24	RP19
24	STGD
24	STGD1
25	ABL1
25	ABL
25	bcr%2Fabl
25	c-ABL
25	JTK7
25	p150
25	v-abl
25	CHDSKM
25	bcr/abl
25	c-ABL1
26	AOC1
26	ABP
26	ABP1
26	DAO
26	DAO1
26	KAO
27	ABL2
27	ABLL
27	ARG
28	ABO
28	A3GALNT
28	A3GALT1
28	GTB
28	NAGAT
29	ABR
29	MDB
29	LOC105371478
30	ACAA1
30	ACAA
30	PTHIO
30	THIO
31	ACACA
31	ACAC
31	ACACAD
31	ACC
31	ACC1
31	ACCA
32	ACACB
32	ACC2
32	ACCB
32	HACC275
33	ACADL
33	ACAD4
33	LCAD
34	ACADM
34	ACAD1
34	MCAD
34	MCADH
35	ACADS
35	ACAD3
35	SCAD
36	ACADSB
36	2-MEBCAD
36	ACAD7
36	SBCAD
37	ACADVL
37	ACAD6
37	LCACD
37	VLCAD
38	ACAT1
38	ACAT
38	MAT
38	T2
38	THIL
39	ACAT2
40	ASIC2
40	ACCN
40	ACCN1
40	ASIC2a
40	BNaC1
40	BNC1
40	hBNaC1
40	MDEG
41	ASIC1
41	ACCN2
41	ASIC
41	BNaC2
43	ACHE
43	ACEE
43	ARACHE
43	N-ACHE
43	YT
47	ACLY
47	ACL
47	ATPCL
47	CLATP
48	ACO1
48	ACONS
48	IREB1
48	IREBP
48	IREBP1
48	IRP1
